AS, Prefix, Max Length, Announced/Not Announced, Organization, RIR
0,199.7.78.0/23,23,No,VeriSign Global Registry Services,arin
0,198.179.18.0/24,24,Yes,Montreal Internet Exchange Inc.,arin
0,213.232.238.0/24,24,Yes,ORG-XG53-RIPE,ripe
0,77.83.236.0/22,22,No,ORG-GSS24-RIPE,ripe
0,196.60.96.0/23,23,No,ORG-IS32-AFRINIC,afrinic
0,103.159.71.0/24,24,No,ORG-DSPL11-AP,apnic
0,103.174.251.0/24,24,No,ORG-DSPL11-AP,apnic
0,103.162.254.0/24,24,No,ORG-DAPL7-AP,apnic
0,157.17.128.0/17,32,No,Asia Pacific Network Information Centre,arin
0,196.60.52.0/24,32,No,ORG-TISP1-AFRINIC,afrinic
0,43.243.152.0/22,24,Yes,,apnic
0,43.245.180.0/22,24,Yes,,apnic
0,45.64.44.0/22,24,No,Asia Pacific Network Information Centre,arin
0,49.236.216.0/21,24,No,JABARTELNET-ID,apnic
0,103.7.178.0/23,24,No,IDNIC-GM-ID,apnic
0,103.7.228.0/22,24,No,IDNIC-DMA-ID,apnic
0,103.8.122.0/24,24,No,LMS-ID,apnic
0,103.11.252.0/22,24,Yes,CATFISH-ID,apnic
0,103.22.132.0/22,24,No,SMART-MEDIA-ID,apnic
0,103.23.20.0/22,24,Yes,INFINYS-ID,apnic
0,103.26.4.0/22,24,No,SAHABATNET-ID,apnic
0,103.28.108.0/22,24,No,INDONETWORK-ID,apnic
0,103.29.228.0/22,24,No,HOSTINGSRV_AUDIA,apnic
0,103.31.32.0/23,24,No,IDNIC-BGP-ID,apnic
0,103.43.66.0/23,24,No,IDNIC-MCOIN-ID,apnic
0,103.49.104.0/23,24,No,IDNIC-IBOLZ-ID,apnic
0,103.49.184.0/22,24,No,BINATELCO-ID,apnic
0,103.52.68.0/22,24,No,SUMATERANET-MEDAN,apnic
0,103.61.41.0/24,24,No,IDNIC-PVV-ID,apnic
0,103.62.196.0/23,24,Yes,IDNIC-METROPACIFIC-ID,apnic
0,103.66.44.0/22,24,Yes,IDNIC-ICONMEDIANETWORK-ID,apnic
0,103.71.160.0/22,24,No,JNK-ID,apnic
0,103.78.110.0/24,24,No,IDNIC-ANZ-ID,apnic
0,103.80.96.0/22,24,No,BINTANGKOMINDO-ID,apnic
0,103.82.244.0/23,24,No,IDNIC-JAMUZU-ID,apnic
0,103.83.48.0/22,24,No,RADITA-ID,apnic
0,103.87.66.0/23,24,No,IDNIC-CLICK-ID,apnic
0,103.87.201.0/24,24,Yes,FIBERNET-NETBLOCK,apnic
0,103.93.238.0/24,24,No,IDNIC-UBER-ID,apnic
0,103.94.238.0/23,24,No,IDNIC-CLICK-ID,apnic
0,103.101.20.0/22,24,No,PTHCM-ID,apnic
0,103.104.10.0/24,24,No,IDNIC-DENSUS-88-ID,apnic
0,103.108.240.0/22,24,Yes,IDNIC-PERKALESMAN-ID,apnic
0,103.110.120.0/22,24,No,ISP-ID,apnic
0,103.111.148.0/22,24,No,GOSTNET-ID,apnic
0,103.113.248.0/23,24,No,IDNIC-TRIMASINDO-ID,apnic
0,103.116.135.0/24,24,No,IDNIC-ID,apnic
0,103.119.114.0/24,24,No,IDNIC-FINTAX-ID,apnic
0,103.121.84.0/22,24,No,NEXUS-ID,apnic
0,103.121.251.0/24,24,No,IDNIC-ID,apnic
0,103.122.76.0/23,24,Yes,IDNIC-ZORINA-ID,apnic
0,103.124.4.0/22,24,Yes,SIPAJAK-ID,apnic
0,103.124.44.0/22,24,Yes,IDNIC-ADINIAGA-ID,apnic
0,103.124.68.0/22,24,No,IDNIC-AZMI-ID,apnic
0,103.124.88.0/22,24,Yes,IDNIC-LOCITA-ID,apnic
0,103.124.144.0/22,24,Yes,IDNIC-BATUHA-ID,apnic
0,103.125.104.0/22,24,No,M2N-ID,apnic
0,103.126.120.0/24,24,No,IDNIC-EAGLEYE-ID,apnic
0,103.127.129.0/24,24,No,IDNIC-SWIFECT-ID,apnic
0,103.129.216.0/22,24,Yes,CEPATNET-ID,apnic
0,103.133.16.0/22,24,No,IGN-ID,apnic
0,103.134.54.0/24,24,No,IDNIC-SUFIATV-ID,apnic
0,103.136.76.0/22,24,No,INTECHMANDIRI-ID,apnic
0,103.137.42.0/23,24,No,DASAWARSANET-ID,apnic
0,103.138.97.0/24,24,No,IDNIC-ID,apnic
0,103.140.108.0/23,24,No,IDNIC-DRAGON-ID,apnic
0,103.141.196.0/23,24,No,AGNETINDO-ID,apnic
0,103.142.60.0/23,24,No,UTARAMEDIANET-ID,apnic
0,103.142.182.0/23,24,No,PELANGISURYAPERSADA-ID,apnic
0,103.143.188.0/23,24,No,LINTASKARSA-ID,apnic
0,103.143.192.0/23,24,Yes,ICONPLN-ID,apnic
0,103.143.220.0/23,24,No,IDNIC-ID,apnic
0,103.144.16.0/23,24,No,IDNIC-ATS-ID,apnic
0,103.145.124.0/24,24,No,IDNIC-LAS-ID,apnic
0,103.146.26.0/23,24,Yes,INMEET-ID,apnic
0,103.146.70.0/23,24,No,BARNET-ID,apnic
0,103.146.190.0/23,24,No,KUANTUM-ID,apnic
0,103.147.50.0/23,24,Yes,STSNET-ID,apnic
0,103.147.54.0/23,24,No,SACT-ID,apnic
0,103.149.14.0/23,24,No,INTERNET-ID,apnic
0,103.149.219.0/24,24,No,IDNIC-JENID-ID,apnic
0,103.151.211.0/24,24,No,IDNIC-ID,apnic
0,103.154.72.0/23,24,No,MIT-ID,apnic
0,103.159.62.0/23,24,No,IDNIC-BANDA-ID,apnic
0,103.159.91.0/24,24,No,IDNIC-HERYNET-ID,apnic
0,103.159.215.0/24,24,No,IDNIC-VINONET-ID,apnic
0,103.160.9.0/24,24,No,IDNIC-DISKOMINFOSALATIGA-ID,apnic
0,103.161.84.0/23,24,No,IDNIC-BATIKNET-ID,apnic
0,103.161.160.0/24,24,No,IDNIC-TETRANETWORK-ID,apnic
0,103.161.200.0/23,24,No,IDNIC-CAHAYANET-ID,apnic
0,103.162.183.0/24,24,No,IDNIC-PUSPANET-ID,apnic
0,103.163.176.0/24,24,No,IDNIC-AGIVASEJAHTERAGROUP-ID,apnic
0,103.181.195.0/24,24,No,IDNIC-ID,apnic
0,103.195.29.0/24,24,No,IDNIC-KUONI-ID,apnic
0,103.195.164.0/22,24,No,APS-ID,apnic
0,103.198.116.0/22,24,No,TOPAS-ID,apnic
0,103.198.131.0/24,24,No,IDNIC-BIOS-ID,apnic
0,103.199.236.0/22,24,No,MERINDO-ID,apnic
0,103.207.236.0/22,24,No,CAKRAWALANET-ID,apnic
0,103.209.95.0/24,24,No,IDNIC-MORENTZ-ID,apnic
0,103.210.228.0/22,24,No,PRONET-ID,apnic
0,103.220.112.0/24,24,No,IDNIC-AHLOO-ID,apnic
0,103.235.21.0/24,24,No,IDNIC-BPRTIK-ID,apnic
0,103.247.100.0/22,24,Yes,ROUTER-BACKBONE,apnic
0,103.251.14.0/24,24,Yes,IDNIC-MEGAINDOWEB-ID,apnic
0,122.129.192.0/21,24,No,NOC-SRG-AUDIA-NET,apnic
0,123.108.8.0/21,24,No,JJNET-ID,apnic
0,124.66.160.0/21,24,No,NexxG-NET,apnic
0,202.65.224.0/20,24,No,IDNIC-ID,apnic
0,203.21.74.0/23,24,No,INDONETWORK-ID,apnic
0,203.81.248.0/22,24,Yes,Apotik-Century-Srengseng,apnic
0,149.112.40.0/24,24,No,DE-CIX North America Inc.,arin
0,199.16.92.0/23,23,No,VeriSign Global Registry Services,arin
0,31.134.1.0/24,24,No,ORG-OL239-RIPE,ripe
0,31.134.0.0/24,24,No,ORG-OL239-RIPE,ripe
0,31.134.4.0/24,24,No,ORG-OL239-RIPE,ripe
0,31.134.3.0/24,24,No,ORG-OL239-RIPE,ripe
0,31.134.2.0/24,24,No,ORG-OL239-RIPE,ripe
0,31.134.8.0/24,24,No,ORG-OL239-RIPE,ripe
0,31.134.7.0/24,24,No,ORG-OL239-RIPE,ripe
0,31.134.6.0/24,24,No,ORG-OL239-RIPE,ripe
0,31.134.5.0/24,24,No,ORG-OL239-RIPE,ripe
0,31.134.11.0/24,24,No,ORG-OL239-RIPE,ripe
0,31.134.10.0/24,24,No,ORG-OL239-RIPE,ripe
0,31.134.9.0/24,24,No,ORG-OL239-RIPE,ripe
0,31.134.15.0/24,24,No,ORG-OL239-RIPE,ripe
0,31.134.14.0/24,24,No,ORG-OL239-RIPE,ripe
0,31.134.13.0/24,24,No,ORG-OL239-RIPE,ripe
0,31.134.12.0/24,24,No,ORG-OL239-RIPE,ripe
0,149.112.27.0/24,24,No,DE-CIX North America Inc.,arin
0,193.57.27.0/24,24,No,ORG-UX19-RIPE,ripe
0,193.57.33.0/24,24,No,ORG-UX19-RIPE,ripe
0,193.57.35.0/24,24,No,ORG-UX19-RIPE,ripe
0,193.57.57.0/24,24,No,ORG-UX19-RIPE,ripe
0,185.1.163.0/24,32,No,ORG-SS992-RIPE,ripe
0,199.7.62.0/24,24,No,VeriSign Global Registry Services,arin
0,45.150.53.0/24,24,Yes,ORG-CL692-RIPE,arin
0,103.162.82.0/24,24,No,ORG-UNN1-AP,apnic
0,69.36.147.0/24,24,No,VeriSign Infrastructure & Operations,arin
0,103.155.186.0/23,24,No,JUPITER-ID,apnic
0,23.4.85.0/24,24,No,Akamai Technologies  Inc.,arin
0,185.222.116.0/22,22,No,ORG-JB83-RIPE,ripe
0,195.69.118.0/24,24,No,ORG-NIE1-RIPE,ripe
0,195.69.117.0/24,24,No,ORG-NIE1-RIPE,ripe
0,195.69.116.0/24,24,No,ORG-NIE1-RIPE,ripe
0,195.69.119.0/24,24,Yes,ORG-NIE1-RIPE,ripe
0,195.245.240.0/24,24,No,ORG-NIE1-RIPE,ripe
0,31.25.237.0/24,24,No,ORG-ML403-RIPE,ripe
0,31.25.236.0/22,24,No,ORG-ML403-RIPE,ripe
0,87.121.124.0/23,24,No,ORG-NL38-RIPE,ripe
0,194.42.48.0/24,32,No,ORG-IEA3-RIPE,ripe
0,193.253.149.0/24,24,No,OPENTRANSIT-BACKBONE,ripe
0,103.116.194.0/24,24,No,ORG-OCL5-AP,apnic
0,195.88.213.0/24,24,Yes,ORG-LSMS1-RIPE,ripe
0,69.36.145.0/24,24,No,VeriSign Infrastructure & Operations,arin
0,43.243.22.0/23,23,No,,apnic
0,103.26.68.0/23,23,Yes,ORG-MPL6-AP,apnic
0,103.26.70.0/24,24,No,ORG-MPL6-AP,apnic
