AS, Prefix, Max Length, Announced/Not Announced, Organization, RIR
14618,54.160.0.0/12,24,Yes,Amazon Technologies Inc.,arin
16509,35.112.0.0/12,24,No,Amazon Technologies Inc.,arin
7922,96.96.0.0/12,12,Yes,Comcast Cable Communications  LLC,arin
8987,54.80.0.0/12,24,Yes,Amazon Technologies Inc.,arin
16509,52.32.0.0/11,24,Yes,Amazon Technologies Inc.,arin
21928,162.160.0.0/11,24,Yes,T-Mobile USA  Inc.,arin
4713,180.0.0.0/10,10,Yes,OCN,apnic
8075,20.64.0.0/10,10,Yes,Microsoft Corporation,arin
1257,83.176.0.0/12,12,Yes,EE-TELE2-GPRS,ripe
1257,90.128.0.0/12,12,Yes,LV-TELE2-GPRS,ripe
8987,98.80.0.0/12,24,No,Amazon.com  Inc.,arin
14618,54.192.0.0/12,24,Yes,Amazon.com  Inc.,arin
7922,68.32.0.0/11,11,Yes,Comcast Cable Communications  LLC,arin
15557,79.80.0.0/12,12,Yes,ORG-VF1-RIPE,ripe
15557,77.144.0.0/12,12,Yes,SFR-USER-DATA,ripe
15557,109.0.0.0/11,11,Yes,N9UF-PRO,ripe
15557,93.0.0.0/11,11,Yes,SFR-USER-DATA,ripe
15557,78.112.0.0/12,12,Yes,N9UF-DYN-DSL,ripe
15557,77.192.0.0/12,12,Yes,SFR-USER-DATA,ripe
15557,86.64.0.0/12,12,Yes,N9UF-PRO,ripe
14618,3.64.0.0/10,24,Yes,A100 ROW GmbH,arin
3462,36.224.0.0/12,24,Yes,HINET-NET,apnic
14618,184.32.0.0/12,24,No,Amazon.com  Inc.,arin
7018,172.0.0.0/12,12,Yes,AT&T Corp.,arin
16509,3.128.0.0/10,24,Yes,Amazon Technologies Inc.,arin
7922,76.96.0.0/11,11,Yes,Comcast Cable Communications  LLC,arin
8075,52.224.0.0/11,11,Yes,Microsoft Corporation,arin
8987,52.64.0.0/12,24,Yes,Amazon Technologies Inc.,arin
6327,70.64.0.0/12,24,Yes,Shaw Communications Inc.,arin
14618,52.64.0.0/12,24,Yes,Amazon Technologies Inc.,arin
14618,52.192.0.0/12,24,Yes,Amazon Data Services Japan,arin
6830,89.64.0.0/12,12,Yes,UPC-PL,ripe
14618,35.80.0.0/12,24,Yes,Amazon.com  Inc.,arin
8987,44.192.0.0/10,24,Yes,Amazon Data Services NoVa,arin
16509,52.32.0.0/11,24,Yes,Amazon Technologies Inc.,arin
3462,1.160.0.0/12,24,Yes,HINET-NET,apnic
16509,54.176.0.0/12,24,Yes,Amazon.com  Inc.,arin
16509,35.96.0.0/12,24,No,Amazon Technologies Inc.,arin
14618,54.192.0.0/12,24,Yes,Amazon.com  Inc.,arin
16509,3.64.0.0/10,24,Yes,A100 ROW GmbH,arin
8987,34.192.0.0/10,24,Yes,Amazon Technologies Inc.,arin
14618,54.80.0.0/12,24,Yes,Amazon Technologies Inc.,arin
14618,52.64.0.0/12,24,Yes,Amazon Technologies Inc.,arin
16509,54.144.0.0/12,24,Yes,Amazon Data Services NoVa,arin
14618,184.32.0.0/12,24,No,Amazon.com  Inc.,arin
16509,44.192.0.0/10,24,Yes,Amazon Data Services NoVa,arin
16509,44.192.0.0/10,24,Yes,Amazon Data Services NoVa,arin
16509,184.32.0.0/12,24,No,Amazon.com  Inc.,arin
11830,201.192.0.0/12,24,Yes,SAN JOSE,lacnic
14618,52.32.0.0/11,24,Yes,Amazon Technologies Inc.,arin
14618,54.224.0.0/12,24,Yes,Amazon Technologies Inc.,arin
14618,54.144.0.0/12,24,Yes,Amazon Data Services NoVa,arin
16509,54.176.0.0/12,24,Yes,Amazon.com  Inc.,arin
5607,90.192.0.0/11,11,Yes,BSKYB-BROADBAND,ripe
5607,94.0.0.0/12,12,Yes,BSKYB-BROADBAND,ripe
14618,98.80.0.0/12,24,No,Amazon.com  Inc.,arin
16509,3.0.0.0/10,24,Yes,Amazon Data Services Singapore,arin
14618,35.96.0.0/12,24,No,Amazon Technologies Inc.,arin
9105,79.64.0.0/12,24,Yes,ORG-OTIS1-RIPE,ripe
3462,114.32.0.0/12,24,Yes,HINET-NET,apnic
8987,35.160.0.0/12,24,Yes,Amazon.com  Inc.,arin
4804,49.176.0.0/12,12,Yes,ORG-OIPL5-AP,apnic
8987,44.192.0.0/10,24,Yes,Amazon Data Services NoVa,arin
16509,3.64.0.0/10,24,Yes,A100 ROW GmbH,arin
1103,145.144.0.0/12,12,Yes,ORG-Sb3-RIPE,ripe
8075,4.192.0.0/12,12,Yes,Microsoft Corporation,arin
16509,52.192.0.0/12,24,Yes,Amazon Data Services Japan,arin
16509,54.192.0.0/12,24,Yes,Amazon.com  Inc.,arin
14618,52.0.0.0/11,24,Yes,Amazon Technologies Inc.,arin
15169,34.96.0.0/12,12,Yes,Google LLC,arin
19905,105.48.0.0/12,24,Yes,SFC-2014-2G-3G-4G,afrinic
14618,35.160.0.0/12,24,Yes,Amazon.com  Inc.,arin
14618,3.128.0.0/10,24,Yes,Amazon Technologies Inc.,arin
4713,114.160.0.0/11,11,Yes,KITAMI,apnic
14618,3.64.0.0/10,24,Yes,A100 ROW GmbH,arin
16509,35.160.0.0/12,24,Yes,Amazon.com  Inc.,arin
14618,98.80.0.0/12,24,No,Amazon.com  Inc.,arin
14618,54.80.0.0/12,24,Yes,Amazon Technologies Inc.,arin
